id,screen_name,followers_count,friends_count,status_count,description,label
95695519,carlbaggy,8,498,28,,1
95782748,reahvaldez,4,616,21,"Hi All, I'm based in London and my interests include travel & working from home. I help others to achieve this. For more info go here: http://t.co/wc9zZosZ",1
96123681,luay10,4,606,0,,1
96487747,mIrDy_23,67,935,438,,1
96730829,sravan_rendala,11,939,32,,1
96871607,vega_alma7,9,936,2,,1
96882337,2009TURKA,60,704,1742,ANTES MUERTA QUE SENCILLA,1
96917059,pmsoo,189,477,1190,"Stay hungry, Stay foolish.",1
97275343,anna_kareninna,7,555,4,,1
97859473,alpyavuzeser,12,349,1,,1
97904722,CJayakonstruksi,67,673,232,,1
99268708,kamel009,4,847,1,,1
99469213,zagro80,48,599,7,,1
99624861,JulioCChagoya,132,581,456,,1
100219528,Thatag15,8,436,6,,1
100370448,pablo_mc4,6,365,5,,1
101330413,Fah_Cristina,53,546,1183,"(...) Problemas para vencer, liberdade para provar. E enquanto acreditarmos no nosso sonho, nada é por acaso.",1
101399567,IkarosLove,4,593,0,,1
101573373,rul085,7,413,32,,1
101892747,paynevscastle,2,445,2,Just sit around playing video games and pondering.,1
102336226,EightSevent,2,331,68,Buy low. Sell High. Search Easy.,1
102701930,KBanjany,24,599,17,,1
103159736,bennzenn,5,369,1,,1
104657589,swashbuckler45,6,520,1,,1
104850934,paulosuissa,4,520,3,,1
105510200,lovesnurull,7,605,4,,1
105696650,ballesterok,39,642,16,"Amable, sincera, educadora, m encanta la musica, pin:217ED03F",1
105748476,JoseJuanLP,7,427,2,"Hablar de mi en primera persona no es muy fuerte pero si la cuestion es autobiografiarse,pues,soy una persona bastante peculiar aunque muy normal a la vez.",1
105790281,emadmoh,16,345,8,,1
106193762,thauanne_cn,12,430,17,,1
106595346,claudita_37,33,718,155,,1
106622116,barbbeighley,0,430,12,,1
107013897,atunnianti,13,455,19,"cwe yang tomboy, baek hti, setia kawan, dll",1
107914508,ppzepeda,1167,1621,3228,"la fotografía y desarrollo de aptitudes en la comunicación, 18 años en difusión en OCESA me ha permitido participar en mas de 1,800 eventos distintos",1
108061353,jpncaetano,14,1008,0,,1
108133351,dheafata,3,575,27,Dominican Republic Realtor - Casa de Campo Real Estate & Villa Rental - Caribbean Golf & Sea Resorts. CEO@DominicanLuxVillas -TRC Certified - FIABCI Member.,1
108581391,Matorah,2,620,10,Surfing on the net and make some money online.,1
109066883,kriblandon,2,449,0,,1
109075883,aillynruby,9,393,48,,1
109553706,purisar,31,451,635,,1
110120789,kanaujiask,18,519,675,,1
110875970,Andreina2510,174,723,116,,1
110962110,r7ehl,6,506,0,,1
111198123,sher_al,9,368,1,,1
112131340,adnanehmed,4,608,7,,1
112188483,_varamaevde_,11,481,84,,1
112200531,Nine30200,6,335,10,,1
112540516,ZackCHS,24,626,134,,1
113856083,elle_bRAtZ,9,466,45,,1
113971880,katyane_,57,285,390,,1
114099935,itsaiqaa,3,597,0,,1
115443974,marciao191078,10,425,10,,1
116265574,luisjromero,13,586,0,,1
116397637,queentalker,4,600,0,,1
118061444,vero_latorre1,6,558,1,,1
118120588,Krisley157,3,577,240,,1
119227710,Jacobelmcall,4,409,8,,1
119926900,biankaprincess,6,355,2,,1
120459203,AvanturistPL,6,397,455,,1
120877377,buddhamanjb,11,429,7,,1
120957631,mariuxidiaz,22,397,10,,1
121102940,sandvin4u,22,948,1,,1
121197358,astonvillajjj1,3,510,0,,1
121309790,Aminder7,19,551,6,,1
121480993,ariantoairial,59,570,257,Peace cannot be kept by force.It can only be achieved by understanding.,1
121795261,Malakai64,6,459,24,,1
122075266,cyril31340,2,328,1,,1
122511648,mariachua16,12,465,20,,1
122963011,yokishan1989,6,943,28,,1
123358291,EduardoHuguet,68,623,66,,1
123599990,karinaca20,10,371,10,,1
123952912,donsilabas,2,407,1,,1
124419079,clarisse032592,4,471,2,,1
124447429,Lamarcio,13,935,0,,1
124964940,verionboss,3,574,4,,1
125514462,sean6970,5,329,12,,1
125528862,karlabortoluzzi,45,557,13,,1
126216653,Naty_Gazzano,2,304,1,,1
126984069,ALMITHA32,6,591,6,,1
127375715,azemon200,31,597,244,,1
127423382,caperuza68,22,508,19,Sé feliz ante todo!!!!,1
128278995,sobreguapo,310,1927,58,,1
128595293,a_a_khattak,6,1011,73,,1
128620164,kittykat229,5,583,2,,1
128933295,teusoares,3,572,32,,1
129729416,LanlaHahe,12,569,14,,1
129899218,Monzter12,3,368,2,,1
129966583,Loliiux,28,651,39,"....Alegre, ocurrente, y un tanto Enojona, Toda Una Pop star en la regadera, y Fan #1 de los PinguinOs de Madagascar!!!=D",1
130303998,Psicolivares,121,783,804,Los ojos con los que miras el mundo son los que transforman TU realidad,1
132278621,ady22hh,4,624,2,,1
132494511,lenz_14,2,555,1,,1
133434448,Amayvas,14,413,3,,1
133762771,katihuscaher,19,463,28,,1
134332869,oscar2129,14,429,24,,1
134435538,shreeswara,73,1998,1333,,1
134678238,alex_alizo,17,388,5,,1
135026061,lenner18,15,413,3,,1
135555380,yunfeng7456203,9,578,0,,1
135637721,Rafitaone,6,549,1,"Me gusta la musica,los carros y me gusta tener amigos",1
135680610,imkjf,1,408,8,,1
136277724,H8M3R8,6,418,0,,1
137515361,angelique19999,6,548,1,,1
137959629,Dans_gokiel,0,384,3,,1
138190464,rodrigootrancee,17,601,15,psy trance .,1
138211958,ochin263,41,570,381,,1
139270785,siddaust,4,531,33,,1
140176665,Kel_GS,133,1258,224,"Animado,gosto de me divertir,compor e aspirante a musico! Follow Me!",1
140200549,sonidocotlan,3,399,15,,1
141394735,0412madspell,4,606,3,,1
141711158,fonk22,5,425,6,,1
141886393,KliinOo,6,301,2,,1
142150030,Clau_Ulloa,14,445,2,,1
142876983,k_a_r_y_s,17,513,33,,1
143972736,mariiipretty,10,439,29,Nunca deixe que os seus princípios impeçam você de fazer o que é certo,1
144038714,timeoutmiranda,4,974,0,,1
144748986,clon009,30,427,0,,1
145022907,DustinWatson3,12,1010,14,,1
145602813,zorkiy1982,9,628,288,,1
146367402,lailadayanti,12,1054,0,,1
146913214,elchidodesaul,5,154,7,,1
147107988,rockdrummer1990,4,575,0,,1
147266930,Normanndk,3,406,16,,1
147813988,hackedbiz,6,560,0,Saving small business owners time with tips and reviews about automation.,1
147847633,xharuu,4,567,9,Los 160 carácteres no alcanzan para descibir a una persona. Simplemente dar una visión de ella y de lo que quiere dar a conocer. Simple.,1
147852405,kapaicha,19,399,1,,1
147954455,lele5m,13,544,3,,1
148151604,saul460,8,592,1,,1
148896431,zpuky,5,441,38,,1
150524058,atom880923,12,510,22,,1
150861478,sappasit_jitjan,16,524,92,I am a nice man but i am a disabilities man. I am friendly.,1
151474227,ca2chon,18,388,6,,1
152259498,undefided,4,569,33,,1
152846674,tungmaye,4,375,2,,1
153575796,lsmith86,7,613,0,,1
153824393,pedro_prek,1,534,11,,1
153921560,Sil_Morita,35,570,207,Sabrá mi tiempo de trascurrir pero de olvidarte jamás sabrá...,1
154029272,azeeslk,6,394,2,,1
154237500,moc_cando,1,404,17,,1
154283899,vanessajlc,11,353,7,,1
154527192,ntimonesjr,8,609,0,,1
154856763,olobnew1,3,502,0,,1
155102693,diegosorianov82,69,1069,35,,1
155644172,gus__duran,20,641,159,en pocas palabras el sentimiento de muchos puede ser expresado ¿es posible?,1
156085716,cocoboldetti,7,406,5,,1
156213843,YulizaRachma,18,436,28,,1
156242211,bhabycarlo,0,432,3,,1
157371153,3rickm0nt,8,412,2,,1
157614264,Ciel_Noct,248,348,33128,계폭하셨스빈다,1
157769562,Groteatjar,5,599,6,,1
157864555,nasantillan,13,539,10,,1
158369900,CoCoRuihuan,1,421,9,,1
158376605,NellyEsm,10,569,25,,1
158541730,Ruben2905,2,518,29,,1
159719768,tai_teixeira,18,550,4,,1
160457617,avel01,4,390,5,"hi guyz,.,.,",1
160574022,EdgarTornqvist,1,310,21,,1
161085466,mardoniomatos,26,460,15,Se tivesse acreditado na minha brincadeira de dizer verdades teria ouvido verdades que teimo em dizer brincando,1
161291774,Marizinha_CE,17,465,20,"Linda , Maravilhosa e de bem com a vida. Sou a melhor de todas!!!",1
161473116,Tialas,16,601,151,Грубиян и невоспитанный тип!Правый хвост длиннее!Фиолетовый в крапинку..хДГениальный Механик Планеты!!!Отличается умом и сообразительностью...,1
162039067,ZeGuilhermo,13,632,515,"Autenticidade sem ser espalhafatoso, objetividade sem queimar etapas ou deixar de degustar as coisas simples, porém prazerosas da vida.",1
163142123,xiiLOVEYOUU_,5,320,3,,1
164176771,realLeDuc,12,453,48,I'm a Writer/Rapper. I write about the upside of life and I try to keep it real.(Matt Weddle),1
164239619,ninenutkub,19,600,12,ชีววิทยา 555+,1
164432890,tu_baby_star,9,584,7,,1
164508239,xI_Omnimon_Ix,77,743,510,Jeydon's the name. music is my drug. Instagram: the_guillotinexx,1
166324591,rasyefare,10,539,1,,1
166737008,Claux16_nena,8,438,33,,1
167566699,lya_lokinha,11,631,49,,1
168287685,_Guiifranca,19,634,93,,1
168686865,eduardoorta,19,411,5,,1
168773175,mbsoundman,22,412,2,,1
168872531,tamiressk,67,783,570,"Revolucionária e sem preconceitos, tenho a mente aberta a novas ideias e estou sempre disposta a aprender algo novo e diferente.",1
169141228,yimarcozzarelli,18,606,28,,1
169147207,__Garajau,108,794,2760,MINEIRIN (U.A.I).,1
169433349,seeprokia,25,597,77,pokai,1
169474438,f3rn4ndo1,1,335,2,,1
169497745,oneadagio,8,968,181,(-_-;),1
170144297,F_FreSshMusic,14,617,1,,1
170486247,DAYANNYTA,23,603,18,,1
171066133,lovebeliever17,16,414,14,"Freelancer, living on my own rules. interesting in photography & singing.",1
171081216,hyojin0124,5,310,70,Sung Yueng♥,1
171990690,GIORGIOGT,5,569,0,,1
172164229,sapo_eknms,3,425,4,,1
173215914,Laisame,12,681,17,,1
174036384,karlitaVelez,7,462,20,,1
176096243,RamyAbdelMoneim,64,595,211,"Revenue Manager, Radisson Blu & Park Inn By Radisson",1
176506844,Hector2023,3,616,2,,1
176509349,Andres19781157,2,575,0,,1
176736646,chengkai03,4,406,24,,1
177878468,55_OeMeR_55,5,487,1,,1
178366319,bonjovi80,4,336,2,,1
179662214,hormecinda,4,601,0,,1
181225107,JeyCDee,3,597,280,,1
182071638,benji_sib,1,144,17,,1
183580684,stireateius,2,340,4,,1
183733336,victor_kxo,46,565,150,"Ingeniero Industrial, ex alumno UNAB, ex alumno politecnico n°1 de maipú, jugador de Magallanes Cerrillos. Apodos: K-xo, K-T, Beausejour",1
184821868,nouiouaha,6,567,13,,1
184849544,KarliiBrown,6,391,0,,1
184922888,sparkmoren,3,412,10,;),1
184988281,CHOPPERS2802,3,523,1,,1
185933483,ajie_ramadhan,6,536,26,"y gni lha aqu,cari tw ajj yh ndry...",1
186476710,joaozikamuleque,18,574,18,,1
186690040,Xuaner_96,4,951,0,,1
187581447,agna_7,3,416,5,,1
189015964,argo_br,7,577,330,,1
189040110,MMooDeWW,4,356,10,,1
189211293,krolbranco1,8,568,21,,1
189730759,ricuaracheli,6,541,28,,1
189972024,gui488,6,532,2,,1
190265169,joshy2314,10,416,2,,1
190493618,C4rL1T0sSSS,6,540,1,,1
190796770,Weeben85,68,832,65,Hi im Ben 25 year old gay guy from Dundee Scotland .,1
191725589,inasyorl,1,577,210,,1
192193390,zodiacoparty,22,583,10,,1
192269471,Wacka11,39,286,266,,1
193607094,vtemnenkov,3,550,202,"родился,учился,работал,женился",1
194026156,melenieboeren,48,440,371,,1
195541103,davidmutis,49,499,155,En Construcción,1
195625268,hiena18,2,570,6,,1
195874688,abyzak27,3,147,13,,1
195913271,crystyanesouza,26,1548,99,,1
196198266,DALLAS_TX81,9,586,0,,1
197659647,wakkatwo,14,480,803,Just gaming and then some. Check my youtube channels out http://www.youtube.com/mmohype  http://www.youtube.com/fpshype,1
197989988,Patto_115,11,581,0,,1
198243810,jorge_molina79,3,627,0,,1
198277538,peluzaparker,24,634,1,,1
198414396,GengHaitao,6,459,11,,1
198572784,tata_lya,17,525,35,"Não feito, não perfeito, não completoNão satisfeito nunca, não contenteNão acabado, não definitivo:Eis aqui um vivoEis-me aqui..",1
198833831,joshman94453,7,398,7,,1
199173600,NahiiMndza,7,589,0,,1
199815995,alexita0507,13,611,0,,1
199843531,Joargentinaa,3,566,0,,1
200238543,PatriciaEugenio,8,568,4,,1
201190422,PinkSunshine21,29,181,16,Miss Pinkylicious... Miss Spicylicious!;),1
201350011,jharveyvela,80,1124,224,"DIOS, Hacer Música - Cantar y el Periodismo: Mis Pasiones ¡¡¡¡",1
201434721,artintoart,5,378,28,예술과 삶.... 그리고 그 밖의 것들,1
202155524,0070004,3,699,111,,1
202440814,bichit0o0o0,5,472,1,muy sencilla,1
202511395,agustinaschia,16,422,0,"Cuando se trata de perseguir aquello que amas en la vida, no aceptes un “no” por respuesta.",1
202886194,MariLesbica,137,465,0,,1
202902437,eidisvera,5,410,30,Barinas1989,1
203226319,cnajera52,13,604,107,,1
206739703,Maycon_Silmara,15,541,1,,1
207293756,katheARTE,33,615,169,Rrrrreee HaPPyyy,1
208286245,carlos_olave,9,508,97,"I like reading, listening to musicto travel in the nights that I love for the calmness......",1
209169103,Ruthfraire15,0,166,7,,1
210428729,CdeCarmen,40,625,80,,1
211026468,aracelyrdzmtz,15,591,28,,1
212928560,BaltozavrIK,16,542,739,"родился, учился, женился.",1
214066953,hlkuna,68,458,600,,1
214549887,karliatto,23,377,7,"Ingeniero Técnico Agrícola.La agricultura es la profesión propia del sabio, la más adecuada al sencillo y la ocupación más digna para todo hombre libre.",1
214632102,Din_BU,7,575,3,,1
214998068,carolcnl,21,651,72,,1
215154980,Josy13anny,3,415,1,,1
215766919,Nightryder1985,4,580,6,"Hi, I`m a open mind person who like to meet a new people, they culture and a style of life. Also like to expirience a new thing in life and have a lot of fun..",1
215878258,freddyquinvi,19,771,11,,1
216039493,YeAguero,11,613,3,,1
216081230,chuhlib,8,529,544,,1
217055469,Yahvef,5,558,4,,1
217230913,karli2682,12,404,0,,1
217298740,MagaliDiazS,5,596,1,estoy muy triste pero quiero recuperar al amor de mi vida te AMO Diego eres mi vida voy a luchar por nuestro amor,1
217992483,mehabaky,4,500,3,,1
220448882,Emilie_z,3,395,19,,1
220933018,TheFlamingonews,72,992,4538,We are The Flamingo Bilingual Newspaper Becoming a Bridge  Between Cultures call us at 208 721-2920 or    https://t.co/hfpt2GnT,1
221009412,carlosremis,6,612,0,,1
222154371,Vodk1n,7,583,52,,1
222293510,bdistasio,13,473,47,,1
223329964,brittanycheese,13,612,836,I'm Brittany.I'm human.(:Single. Straight. Not so lonely.(:I love cheese and muffins. I laugh a lot.(:,1
223980471,poopbean,0,582,4,,1
224567425,shleeky,58,529,30,,1
225956521,lawlor_conor,11,954,2,,1
227650216,LauraLR1984,11,454,9,"Mientras encuentras lo que buscas, se feliz con lo que tienes.",1
227811080,jfburgueno,19,446,1,,1
228148311,ZULIMARPEREZ,20,621,8,,1
228564932,nylevefb,202,1595,1415,Las bonitas somos dramáticas por naturaleza.... :),1
228720947,esborninha,27,613,24,Sou apenas um rapaz latinoamericano sem dinheiro no Banco. DECIFRA-ME OU DEVORO-TE...,1
229243865,GiTanA_lUnAr,9,604,42,hola soy una persona muy alegre,1
229286608,RLB94,6,571,0,,1
229906054,wesleybutu,2,554,2,,1
230030181,alma_swagger,242,817,3048,Encuentrame en @belienator4ever... Esta cuenta sera borrada :D',1
231035428,vea4venom,8,1058,212,,1
233145356,sds745,5,515,5,,1
233332129,LaaLaa712,24,638,84,* Live. Laugh. Love. *,1
233655084,zoes3210,15,722,3,,1
233688028,nenen023,7,221,5,,1
233884874,Qwistovskaya,7,615,667,,1
234587511,denisebbarbosa,20,395,70,"Filha do altíssimo, casada, dois príncipes (Joao e Davi).",1
236623139,kaykay_andre,6,519,1,,1
237036122,Jazhito,14,363,3,,1
237411569,nancysosar,8,418,0,,1
238189223,claudiagja,21,515,57,,1
238531661,gergo50,2,522,1,,1
239312585,eltorreinonero5,2,603,11,,1
239525864,MavhouxTeuk,66,352,3940,"Que Dieu Vous Protège, Bien Sur Si Vous Avez La Foi !",1
239732544,husaind76,3,585,0,,1
239895893,vianethleyza,6,422,3,,1
239958387,darcus27,7,934,553,,1
240418696,nrsn_akbga,932,589,4273,,1
240422007,haylin83,14,581,7,,1
241041165,eridantas,1,148,5,,1
241289593,citas_web,14,638,10,,1
241553849,shafithayyi,2,627,3,,1
242186430,David_Micevski,1201,588,867,"Footballer, poker player, food and beach lover",1
242206951,Butt_junkies,1,600,2,,1
242823330,cinyid,6,428,6,,1
243556904,PVDAPLUS,7,571,9,"WIJ WILLEN DEWEVER WEG...Geen praatjes maar acting...Eendracht maakt macht!!L'union fait la force, Concordia res parvae crescunt.",1
244254961,n3qa,5,482,47,,1
244447055,TheR1ne,6,545,29,,1
244494343,Katiuscia97,3,559,2,,1
244812839,alejandro31_95,5,485,1,,1
244831080,japaoriental,4,403,1,,1
245280307,Precious_011091,3,420,1,Im precious.. :),1
245685332,yatzury27,28,422,17,,1
246498796,blueskyverbier,48,624,5,"A new and growing chalet company in Verbier, luxury and great value accommodation to suit all budgets in one of Europe's most exclusive resorts.",1
247046793,butilioso,43,732,86,,1
247228824,samentull,3,585,1,,1
247979863,vallebonita,11,626,13,,1
248186960,Vicklopesz,3,528,0,Cristo Jesus é o nosso Senhor.,1
249011468,Luisvinsas,5,589,8,,1
249292320,luis7722,11,620,0,,1
250216358,aesa75,21,386,24,,1
250231381,vertinlindin,13,706,40,Everton tenho 20 anos sou corinthiano e sou muito alegre.siga-me e eu sigo...,1
250440746,_bwesley,6,559,30,,1
250970687,stary_star,12,612,9,,1
251855577,mwurmeister,58,814,13,,1
251993823,hasan4445,5,627,3,,1
252139342,Apollo_ZP,43,614,1901,,1
252647855,creativebugg,63,1930,553,"I am an engineer, working with a co-operative based company as in Asst. Manager.",1
252818860,kfz2012,2,559,0,,1
253111142,aminymatthew,78,878,192,"Joven luchador por la vida ,me gusta servirle a mi pueblo en especial a mi liceyalmedio soy un hombre de  palabra, me gusta que la personas sean honesta",1
253153974,thomascopello,8,604,8,,1
